f,E
0.009765625,1.16767919104954
0.021484375,5.94581406441873
0.033203125,4.62670876699406
0.044921875,2.641421134722
0.056640625,2.57180542634914
0.068359375,1.53405274214991
0.080078125,0.625903607763317
0.091796875,0.311142863625132
0.103515625,0.283595593617589
0.115234375,0.185032119853159
0.126953125,0.112452832532305
0.138671875,0.0738283178668428
0.150390625,0.110621221294503
0.162109375,0.073012527739907
0.173828125,0.0548866544518765
0.185546875,0.0297459488905682
0.197265625,0.0289395073003426
0.208984375,0.0152960832752424
0.220703125,0.0195962057472246
0.232421875,0.0151523127740525
0.244140625,0.0158744085781502
0.255859375,0.0114838001661749
0.267578125,0.0159985107295972
0.279296875,0.00618061952956415
0.291015625,0.0095569659494167
0.302734375,0.00941758980211266
0.314453125,0.00559239516333556
0.326171875,0.0112321288272852
0.337890625,0.0212212017969265
0.349609375,0.0143500866532799
0.361328125,0.0380345720287229
0.373046875,0.0656836643660068
0.384765625,0.0450998897433455
0.396484375,0.127100168319447
0.408203125,0.0499058713839449
0.419921875,0.077131044125101
0.431640625,0.0566454477303584
0.443359375,0.0415408750357377
0.455078125,0.0344639966106616
0.466796875,0.0403859235283758
0.478515625,0.0253106412661938
0.490234375,0.0227821336257929
0.501953125,0.0303385670400437
0.513671875,0.0225815959720793
0.525390625,0.0205177235846049
0.537109375,0.0285408295053595
0.548828125,0.0196868837918625
0.560546875,0.0188096254613439
0.572265625,0.0119909114166753
0.583984375,0.0106404531032965
0.595703125,0.0163246197579813
0.607421875,0.0123554775336925
0.619140625,0.00993291182707687
0.630859375,0.00908481767743907
0.642578125,0.0105912461302566
0.654296875,0.00506795980657309
0.666015625,0.00347672674078105
0.677734375,0.00560299902667693
0.689453125,0.00432816181248486
0.701171875,0.00535705548006421
0.712890625,0.00379614357052976
0.724609375,0.00237888789448605
0.736328125,0.00212082585424548
0.748046875,0.00177081123516765
0.759765625,0.00295058526651557
0.771484375,0.00206091743816968
0.783203125,0.00064932657025044
0.794921875,0.00101079655801546
0.806640625,0.00102424550605735
0.818359375,0.00099776074148387
0.830078125,0.000935868751539866
0.841796875,0.000784505012744255
0.853515625,0.000928839073678634
0.865234375,0.000723348483088642
0.876953125,0.000406916386513163
0.888671875,0.000543069044060478
0.900390625,0.000457600917631307
0.912109375,0.000514552329171018
0.923828125,0.000485296697121158
0.935546875,0.000449492987793042
0.947265625,0.000170112768650059
0.958984375,0.000242162099523811
0.970703125,0.00033539831985486
0.982421875,0.000167341399751857
0.994140625,0.000361217854065911
