[INFO] [542.404] - Start new burst interval
[INFO] [542.404] - IMU file name: /home/pi/microSWIFT/data/006_Imu_12Nov2020_11:12:00UTC_burst_12.dat
[INFO] [542.404] - IMU ON
[INFO] [570.208] - Num of samples: 101, Wanted samples: 2048
[INFO] [570.485] - Num of samples: 102, Wanted samples: 2048
[INFO] [570.753] - Num of samples: 103, Wanted samples: 2048
[INFO] [571.021] - Num of samples: 104, Wanted samples: 2048
[INFO] [571.288] - Num of samples: 105, Wanted samples: 2048
[INFO] [571.557] - Num of samples: 106, Wanted samples: 2048
[INFO] [571.827] - Num of samples: 107, Wanted samples: 2048
[INFO] [572.111] - Num of samples: 108, Wanted samples: 2048
[INFO] [572.392] - Num of samples: 109, Wanted samples: 2048
[INFO] [572.662] - Num of samples: 110, Wanted samples: 2048
[INFO] [572.944] - Num of samples: 111, Wanted samples: 2048
[INFO] [573.221] - Num of samples: 112, Wanted samples: 2048
[INFO] [573.492] - Num of samples: 113, Wanted samples: 2048
[INFO] [573.760] - Num of samples: 114, Wanted samples: 2048
[INFO] [574.039] - Num of samples: 115, Wanted samples: 2048
[INFO] [574.317] - Num of samples: 116, Wanted samples: 2048
[INFO] [574.606] - Num of samples: 117, Wanted samples: 2048
[INFO] [574.899] - Num of samples: 118, Wanted samples: 2048
[INFO] [575.176] - Num of samples: 119, Wanted samples: 2048
[INFO] [575.444] - Num of samples: 120, Wanted samples: 2048
[INFO] [575.714] - Num of samples: 121, Wanted samples: 2048
[INFO] [575.996] - Num of samples: 122, Wanted samples: 2048
[INFO] [576.274] - Num of samples: 123, Wanted samples: 2048
[INFO] [576.545] - Num of samples: 124, Wanted samples: 2048
[INFO] [576.825] - Num of samples: 125, Wanted samples: 2048
[INFO] [577.111] - Num of samples: 126, Wanted samples: 2048
[INFO] [577.388] - Num of samples: 127, Wanted samples: 2048
[INFO] [577.666] - Num of samples: 128, Wanted samples: 2048
[INFO] [577.940] - Num of samples: 129, Wanted samples: 2048
[INFO] [578.209] - Num of samples: 130, Wanted samples: 2048
[INFO] [578.487] - Num of samples: 131, Wanted samples: 2048
[INFO] [578.755] - Num of samples: 132, Wanted samples: 2048
[INFO] [579.038] - Num of samples: 133, Wanted samples: 2048
[INFO] [579.323] - Num of samples: 134, Wanted samples: 2048
[INFO] [579.619] - Num of samples: 135, Wanted samples: 2048
[INFO] [579.896] - Num of samples: 136, Wanted samples: 2048
[INFO] [580.172] - Num of samples: 137, Wanted samples: 2048
[INFO] [580.451] - Num of samples: 138, Wanted samples: 2048
[INFO] [580.719] - Num of samples: 139, Wanted samples: 2048
[INFO] [580.993] - Num of samples: 140, Wanted samples: 2048
[INFO] [581.265] - Num of samples: 141, Wanted samples: 2048
[INFO] [581.533] - Num of samples: 142, Wanted samples: 2048
[INFO] [581.801] - Num of samples: 143, Wanted samples: 2048
[INFO] [582.092] - Num of samples: 144, Wanted samples: 2048
[INFO] [582.380] - Num of samples: 145, Wanted samples: 2048
[INFO] [582.648] - Num of samples: 146, Wanted samples: 2048
[INFO] [582.917] - Num of samples: 147, Wanted samples: 2048
[INFO] [583.184] - Num of samples: 148, Wanted samples: 2048
[INFO] [583.452] - Num of samples: 149, Wanted samples: 2048
[INFO] [583.720] - Num of samples: 150, Wanted samples: 2048
[INFO] [583.988] - Num of samples: 151, Wanted samples: 2048
[INFO] [584.266] - Num of samples: 152, Wanted samples: 2048
[INFO] [584.541] - Num of samples: 153, Wanted samples: 2048
[INFO] [584.831] - Num of samples: 154, Wanted samples: 2048
[INFO] [585.124] - Num of samples: 155, Wanted samples: 2048
[INFO] [585.395] - Num of samples: 156, Wanted samples: 2048
[INFO] [585.696] - Num of samples: 157, Wanted samples: 2048
[INFO] [585.967] - Num of samples: 158, Wanted samples: 2048
[INFO] [586.235] - Num of samples: 159, Wanted samples: 2048
[INFO] [586.504] - Num of samples: 160, Wanted samples: 2048
[INFO] [586.771] - Num of samples: 161, Wanted samples: 2048
[INFO] [587.050] - Num of samples: 162, Wanted samples: 2048
[INFO] [587.326] - Num of samples: 163, Wanted samples: 2048
[INFO] [587.617] - Num of samples: 164, Wanted samples: 2048
[INFO] [587.887] - Num of samples: 165, Wanted samples: 2048
[INFO] [588.154] - Num of samples: 166, Wanted samples: 2048
[INFO] [588.424] - Num of samples: 167, Wanted samples: 2048
[INFO] [588.691] - Num of samples: 168, Wanted samples: 2048
[INFO] [588.984] - Num of samples: 169, Wanted samples: 2048
[INFO] [589.260] - Num of samples: 170, Wanted samples: 2048
[INFO] [589.532] - Num of samples: 171, Wanted samples: 2048
[INFO] [589.800] - Num of samples: 172, Wanted samples: 2048
[INFO] [590.087] - Num of samples: 173, Wanted samples: 2048
[INFO] [590.375] - Num of samples: 174, Wanted samples: 2048
[INFO] [590.651] - Num of samples: 175, Wanted samples: 2048
[INFO] [590.939] - Num of samples: 176, Wanted samples: 2048
[INFO] [591.215] - Num of samples: 177, Wanted samples: 2048
[INFO] [591.499] - Num of samples: 178, Wanted samples: 2048
[INFO] [591.791] - Num of samples: 179, Wanted samples: 2048
[INFO] [592.059] - Num of samples: 180, Wanted samples: 2048
[INFO] [592.328] - Num of samples: 181, Wanted samples: 2048
[INFO] [592.612] - Num of samples: 182, Wanted samples: 2048
[INFO] [592.884] - Num of samples: 183, Wanted samples: 2048
[INFO] [593.152] - Num of samples: 184, Wanted samples: 2048
[INFO] [593.429] - Num of samples: 185, Wanted samples: 2048
