[INFO] [474.290] - Start new burst interval
[INFO] [474.290] - IMU file name: /home/pi/microSWIFT/data/006_Imu_21Sep2020_13:00:00UTC_burst_12.dat
[INFO] [474.290] - IMU ON
[INFO] [502.525] - Num of samples: 101, Wanted samples: 2048
[INFO] [502.805] - Num of samples: 102, Wanted samples: 2048
[INFO] [503.073] - Num of samples: 103, Wanted samples: 2048
[INFO] [503.338] - Num of samples: 104, Wanted samples: 2048
[INFO] [503.602] - Num of samples: 105, Wanted samples: 2048
[INFO] [503.867] - Num of samples: 106, Wanted samples: 2048
[INFO] [504.140] - Num of samples: 107, Wanted samples: 2048
[INFO] [504.435] - Num of samples: 108, Wanted samples: 2048
[INFO] [504.724] - Num of samples: 109, Wanted samples: 2048
[INFO] [504.995] - Num of samples: 110, Wanted samples: 2048
[INFO] [505.288] - Num of samples: 111, Wanted samples: 2048
[INFO] [505.567] - Num of samples: 112, Wanted samples: 2048
[INFO] [505.848] - Num of samples: 113, Wanted samples: 2048
[INFO] [506.128] - Num of samples: 114, Wanted samples: 2048
[INFO] [506.407] - Num of samples: 115, Wanted samples: 2048
[INFO] [506.687] - Num of samples: 116, Wanted samples: 2048
[INFO] [506.975] - Num of samples: 117, Wanted samples: 2048
[INFO] [507.255] - Num of samples: 118, Wanted samples: 2048
[INFO] [507.525] - Num of samples: 119, Wanted samples: 2048
[INFO] [507.795] - Num of samples: 120, Wanted samples: 2048
[INFO] [508.077] - Num of samples: 121, Wanted samples: 2048
[INFO] [508.365] - Num of samples: 122, Wanted samples: 2048
[INFO] [508.635] - Num of samples: 123, Wanted samples: 2048
[INFO] [508.900] - Num of samples: 124, Wanted samples: 2048
[INFO] [509.164] - Num of samples: 125, Wanted samples: 2048
[INFO] [509.429] - Num of samples: 126, Wanted samples: 2048
[INFO] [509.712] - Num of samples: 127, Wanted samples: 2048
[INFO] [509.999] - Num of samples: 128, Wanted samples: 2048
[INFO] [510.284] - Num of samples: 129, Wanted samples: 2048
[INFO] [510.561] - Num of samples: 130, Wanted samples: 2048
[INFO] [510.845] - Num of samples: 131, Wanted samples: 2048
[INFO] [511.120] - Num of samples: 132, Wanted samples: 2048
[INFO] [511.422] - Num of samples: 133, Wanted samples: 2048
[INFO] [511.715] - Num of samples: 134, Wanted samples: 2048
[INFO] [512.008] - Num of samples: 135, Wanted samples: 2048
[INFO] [512.295] - Num of samples: 136, Wanted samples: 2048
[INFO] [512.579] - Num of samples: 137, Wanted samples: 2048
[INFO] [512.860] - Num of samples: 138, Wanted samples: 2048
[INFO] [513.145] - Num of samples: 139, Wanted samples: 2048
[INFO] [513.425] - Num of samples: 140, Wanted samples: 2048
[INFO] [513.704] - Num of samples: 141, Wanted samples: 2048
[INFO] [513.975] - Num of samples: 142, Wanted samples: 2048
[INFO] [514.254] - Num of samples: 143, Wanted samples: 2048
[INFO] [514.540] - Num of samples: 144, Wanted samples: 2048
[INFO] [514.823] - Num of samples: 145, Wanted samples: 2048
[INFO] [515.130] - Num of samples: 146, Wanted samples: 2048
[INFO] [515.396] - Num of samples: 147, Wanted samples: 2048
[INFO] [515.660] - Num of samples: 148, Wanted samples: 2048
[INFO] [515.926] - Num of samples: 149, Wanted samples: 2048
[INFO] [516.211] - Num of samples: 150, Wanted samples: 2048
[INFO] [516.485] - Num of samples: 151, Wanted samples: 2048
[INFO] [516.755] - Num of samples: 152, Wanted samples: 2048
[INFO] [517.027] - Num of samples: 153, Wanted samples: 2048
[INFO] [517.311] - Num of samples: 154, Wanted samples: 2048
[INFO] [517.595] - Num of samples: 155, Wanted samples: 2048
[INFO] [517.881] - Num of samples: 156, Wanted samples: 2048
[INFO] [518.165] - Num of samples: 157, Wanted samples: 2048
[INFO] [518.454] - Num of samples: 158, Wanted samples: 2048
[INFO] [518.735] - Num of samples: 159, Wanted samples: 2048
[INFO] [519.015] - Num of samples: 160, Wanted samples: 2048
[INFO] [519.303] - Num of samples: 161, Wanted samples: 2048
[INFO] [519.585] - Num of samples: 162, Wanted samples: 2048
[INFO] [519.851] - Num of samples: 163, Wanted samples: 2048
[INFO] [520.123] - Num of samples: 164, Wanted samples: 2048
[INFO] [520.397] - Num of samples: 165, Wanted samples: 2048
[INFO] [520.662] - Num of samples: 166, Wanted samples: 2048
[INFO] [520.927] - Num of samples: 167, Wanted samples: 2048
[INFO] [521.212] - Num of samples: 168, Wanted samples: 2048
[INFO] [521.501] - Num of samples: 169, Wanted samples: 2048
[INFO] [521.772] - Num of samples: 170, Wanted samples: 2048
[INFO] [522.055] - Num of samples: 171, Wanted samples: 2048
[INFO] [522.334] - Num of samples: 172, Wanted samples: 2048
[INFO] [522.599] - Num of samples: 173, Wanted samples: 2048
[INFO] [522.864] - Num of samples: 174, Wanted samples: 2048
[INFO] [523.129] - Num of samples: 175, Wanted samples: 2048
[INFO] [523.405] - Num of samples: 176, Wanted samples: 2048
[INFO] [523.702] - Num of samples: 177, Wanted samples: 2048
[INFO] [523.985] - Num of samples: 178, Wanted samples: 2048
[INFO] [524.269] - Num of samples: 179, Wanted samples: 2048
[INFO] [524.547] - Num of samples: 180, Wanted samples: 2048
[INFO] [524.835] - Num of samples: 181, Wanted samples: 2048
[INFO] [525.105] - Num of samples: 182, Wanted samples: 2048
[INFO] [525.370] - Num of samples: 183, Wanted samples: 2048
[INFO] [525.636] - Num of samples: 184, Wanted samples: 2048
[INFO] [525.907] - Num of samples: 185, Wanted samples: 2048
[INFO] [526.199] - Num of samples: 186, Wanted samples: 2048
[INFO] [526.485] - Num of samples: 187, Wanted samples: 2048
[INFO] [526.763] - Num of samples: 188, Wanted samples: 2048
[INFO] [527.045] - Num of samples: 189, Wanted samples: 2048
[INFO] [527.325] - Num of samples: 190, Wanted samples: 2048
[INFO] [527.590] - Num of samples: 191, Wanted samples: 2048
[INFO] [527.868] - Num of samples: 192, Wanted samples: 2048
[INFO] [528.148] - Num of samples: 193, Wanted samples: 2048
[INFO] [528.419] - Num of samples: 194, Wanted samples: 2048
[INFO] [528.706] - Num of samples: 195, Wanted samples: 2048
[INFO] [528.975] - Num of samples: 196, Wanted samples: 2048
[INFO] [529.265] - Num of samples: 197, Wanted samples: 2048
[INFO] [529.559] - Num of samples: 198, Wanted samples: 2048
[INFO] [529.838] - Num of samples: 199, Wanted samples: 2048
[INFO] [530.117] - Num of samples: 200, Wanted samples: 2048
[INFO] [530.391] - Num of samples: 201, Wanted samples: 2048
[INFO] [530.663] - Num of samples: 202, Wanted samples: 2048
[INFO] [530.945] - Num of samples: 203, Wanted samples: 2048
[INFO] [531.225] - Num of samples: 204, Wanted samples: 2048
[INFO] [531.495] - Num of samples: 205, Wanted samples: 2048
[INFO] [531.765] - Num of samples: 206, Wanted samples: 2048
[INFO] [532.062] - Num of samples: 207, Wanted samples: 2048
[INFO] [532.339] - Num of samples: 208, Wanted samples: 2048
[INFO] [532.604] - Num of samples: 209, Wanted samples: 2048
[INFO] [532.869] - Num of samples: 210, Wanted samples: 2048
[INFO] [533.134] - Num of samples: 211, Wanted samples: 2048
[INFO] [533.399] - Num of samples: 212, Wanted samples: 2048
[INFO] [533.664] - Num of samples: 213, Wanted samples: 2048
[INFO] [533.958] - Num of samples: 214, Wanted samples: 2048
[INFO] [534.243] - Num of samples: 215, Wanted samples: 2048
[INFO] [534.525] - Num of samples: 216, Wanted samples: 2048
[INFO] [534.805] - Num of samples: 217, Wanted samples: 2048
[INFO] [535.073] - Num of samples: 218, Wanted samples: 2048
[INFO] [535.377] - Num of samples: 219, Wanted samples: 2048
[INFO] [535.684] - Num of samples: 220, Wanted samples: 2048
[INFO] [535.995] - Num of samples: 221, Wanted samples: 2048
[INFO] [536.299] - Num of samples: 222, Wanted samples: 2048
[INFO] [536.598] - Num of samples: 223, Wanted samples: 2048
[INFO] [536.885] - Num of samples: 224, Wanted samples: 2048
[INFO] [537.165] - Num of samples: 225, Wanted samples: 2048
[INFO] [537.465] - Num of samples: 226, Wanted samples: 2048
[INFO] [537.749] - Num of samples: 227, Wanted samples: 2048
[INFO] [538.022] - Num of samples: 228, Wanted samples: 2048
[INFO] [538.295] - Num of samples: 229, Wanted samples: 2048
[INFO] [538.569] - Num of samples: 230, Wanted samples: 2048
[INFO] [538.842] - Num of samples: 231, Wanted samples: 2048
